Sample code,week day,Start date,Stop date,PM2.5 (ug/m3),OC (ugC/m3),BC (ugC/m3),Na+ (ng/m3),NH4+ (ng/m3),K+ (ng/m3),Mg2+ (ng/m3),Ca2+ (ng/m3),F- (ng/m3),Cl- (ng/m3),NO3- (ng/m3),PO43- (ng/m3),SO42- (ng/m3),14C pMC BC (%),Rainfall (mm),D14C (‰),ƒfossil ,ƒbiomass,BCbiomass(ug m-3)  ,BCfossil (Ug m-3)
KEN36-140722,Tue,7/22/2014,7/23/2014,24.34,6.28,3.32,129.3665203,399.6522902,503.776578,23.40224296,219.2314511,8.066053483,103.2510127,422.5075813,35.14678602,1589.214853,18.5,1.2,-815,82.50%,17.50%,0.581078524,2.738921476
KEN37-140729,Mon,7/28/2014,7/29/2014,27.5,6.01,3.36,85.68375194,477.4491032,343.3086435,15.11774597,190.4794195,5.843623985,74.47847394,179.4003954,84.53433065,1575.188966,N/A,0,,,,,
KEN39-140803,Sun,8/3/2014,8/4/2014,28.35,7.05,4.07,84.0007543,481.667158,342.9636872,15.17759118,189.8689916,5.874501904,75.79610105,183.8164707,26.65815021,1572.272548,18.4,0.3,-864,87.13%,12.87%,0.523670766,3.546329234
KEN40-140809,Sat,8/9/2014,8/10/2014,27.58,7.37,3.18,341.661676,1097.687661,1015.008328,0,261.4431456,4.924019708,457.4300313,805.9619866,7.874927276,1839.476508,N/A,0.2,,,,,
KEN41-140815,Fri,8/15/2014,8/15/2014,29.58,8.29,4.81,107.4349707,553.8692789,580.5634775,11.93921629,91.07467201,12.37090993,29.1925154,343.1037756,11.24156865,1824.781217,12.9,3.3,-871,87.80%,12.20%,0.587029328,4.222970672
KEN42-140821,Thur,8/21/2014,8/22/2014,22.42,6.64,4.27,134.7064695,340.6581918,473.5754523,15.7297552,137.08142,3.265117968,143.5941984,433.590694,29.71937075,1650.565646,N/A,1.2,,,,,
KEN43-140827,Wed,8/27/2014,8/28/2014,34.44,10.4,5.21,83.21081725,196.4796542,290.6213248,18.0631842,202.558435,6.734270235,59.26423213,222.0410605,0,896.4916388,N/A,2.4,-802,81.27%,18.73%,0.975950804,4.234049196
KEN45-140902,Tue,9/2/2014,9/3/2014,28.29,7.63,2.79,112.2117395,190.7472655,286.7307605,17.56518562,203.7338813,6.584578877,67.79233504,225.3646979,52.26949592,941.8814752,N/A,7.6,,,,,
KEN46-140908,Mon,9/8/2014,9/9/2014,36.3,11.61,6.78,218.499879,556.1614304,730.9519572,30.98675913,211.8929047,22.76458272,41.59794412,451.1025105,9.127869945,2905.625661,13,2.6,-870,87.70%,12.30%,0.833869442,5.946130558
KEN48-140914,Sun,9/14/2014,9/15/2014,21.96,5.11,3.54,151.7542998,224.1105313,463.0833626,23.86043614,262.9938089,10.2521072,85.15448201,420.1737814,4.77194179,1452.796279,N/A,0.3,,,,,
KEN49-140920,Sat,9/20/2014,9/21/2014,22.5,4.67,2.11,173.4498215,428.7989598,267.9623563,28.70032984,212.3657588,2.83731285,44.95483139,274.0002099,0,2251.544662,26.3,1.3,-737,75.12%,24.88%,0.52500473,1.58499527
KEN50-140926,Fri,9/26/2014,9/27/2014,27.64,5.97,3.2,216.9314434,678.9472469,259.592377,24.22874438,79.35490596,9.238376144,15.07653516,158.5395238,3.754250254,2953.979571,N/A,0,,,,,
KEN51-141002,Thur,10/2/2014,10/3/2014,29.82,8.08,4.03,130.2365453,103.8853174,247.5311232,33.03281269,700.3343849,18.69468654,194.8678472,473.8119354,22.44794263,718.3725966,17.7,1,-823,83.25%,16.75%,0.674843898,3.355156102
Ken53-141008,Wed,10/8/2014,10/9/2014,23.39,5.45,3.97,177.9502271,442.8211585,354.9624112,17.09987541,114.7743666,17.22147549,229.47244,727.5504331,6.245403535,1616.146636,N/A,19.4,,,,,
KEN54-141014,Tue,10/14/2014,10/15/2014,24.43,5.31,2.75,55.02087984,243.3934968,245.2947482,7.815636376,90.57633923,9.628212917,49.20736539,216.7551345,50.48633696,834.7185178,18.1,0.5,-819,82.88%,17.12%,0.470908231,2.279091769
KEN55-141021,Tue,10/21/2014,10/22/2014,23.54,5.74,3.67,152.764603,236.1171304,194.8408459,18.19300257,111.9589285,5.381994071,58.43379056,220.5138265,8.120136852,1134.653545,N/A,0.2,,,,,
KEN56-141027,Mon,10/27/2014,10/28/2014,27.71,6.82,3.67,115.3157117,370.4422937,269.195964,13.88403715,46.78777423,4.682866787,81.15869146,351.6646546,0,1552.757237,15.4,0.4,-846,85.43%,14.57%,0.534701987,3.135298013
